fecha,r_1yr,r_2yr,r_3yr,r_5yr,r_7yr,r_10yr,r_15yr,r_20yr,r_30yr
2015-01-02,0.0491496345195381,0.052321982552120276,0.05578546056552797,0.06092015885323018,0.06908644891854553,0.07478792007033211,0.08375191999085255,,
2015-01-05,0.049094666177830565,0.05243117672097623,0.05593682475213656,0.06126807612499475,0.06956304547452094,0.0747297248501399,0.08307616279344852,,
2015-01-06,0.04907871555089993,0.05254183913285461,0.05594592337118977,0.06151343366282732,0.07000365707307986,0.07541238277734398,0.08449604569243072,,
2015-01-07,0.04856030568229267,0.05234178596827543,0.05563856699275792,0.06090384024648707,0.0689200842665819,0.07414815808982965,0.08369173211493287,,
2015-01-08,0.04818443142463359,0.05149349124247674,0.054656123670995455,0.05974378652496234,0.06781533941692672,0.07294184051255513,0.08003954444169098,,
2015-01-09,0.04776630545671828,0.05129163463209327,0.05440993795806366,0.060074310860943364,0.06719827580581166,0.07281101914403788,0.0810960523894371,,
2015-01-13,0.04810343844184439,0.05141675718384896,0.054625920491350524,0.06024134661183052,0.06752251866221438,0.07315497523297906,0.08206777186469656,,
2015-01-14,0.047632091891620994,0.050671481988162445,0.05383717461991691,0.059685153055556134,0.06714456236352757,0.07279268616122148,0.07914720606790415,0.08488559893931442,
2015-01-15,0.04709360815743108,0.04946903530841939,0.05248990807246058,0.058757974681325334,0.06616610604122333,0.07166348352448476,0.07906787997372948,0.08832720283204717,
2015-01-16,0.04686812239772911,0.04898621334508263,0.05179473307360133,0.05789457480338655,0.06608170877176496,0.07091164188002516,0.07864639914824773,,
2015-01-19,0.04691964640044311,0.04890037390297283,0.05153433580197171,0.05738388596151678,0.06564829595070633,0.07094035639003832,0.07725322096114723,,
2015-01-20,0.0471598238093895,0.049229625951438545,0.0518392071868516,0.05741097547759046,0.06532287283258556,0.07070546629415182,0.07770222120526239,0.08553915343141966,
2015-01-21,0.046528569272556976,0.04869288295415975,0.05130211709070999,0.05706804156634427,0.06494782234921864,0.07060586915630637,0.07870452681930251,,
2015-01-22,0.04588057948404903,0.04800069468984222,0.050287576440743886,0.05541564236491402,0.06422851427365384,0.07010827630044962,0.07704591584096712,0.08574303282110357,
2015-01-23,0.04589513185404258,0.047742654588076694,0.04980005067042579,0.05490946929791879,0.0634439019501941,0.06940391042488157,0.07742328798308289,0.08957885148778622,
2015-01-26,0.04590636388808238,0.04763641163952033,0.04974926371640973,0.05487253036966986,0.0640217919311665,0.06941814041083853,0.08006570820294161,0.0976225273318563,
2015-01-27,0.045543131347831896,0.047122711687601626,0.04910131651847589,0.05400462020162423,0.06334972354939032,0.06891712304691895,0.07761512720486222,0.08916758111859381,
2015-01-28,0.04535907201482559,0.04681926311068149,0.04890734978244809,0.053737328127727205,0.063435293151543,0.06916196604150555,0.07728031187028306,0.0878875944836651,
2015-01-29,0.045379326999676214,0.04684053523159953,0.04872257748183607,0.053661760511117956,0.06326203685712516,0.06893132111327221,0.0773133982918557,0.08894876352044691,
2015-01-30,0.04570047661568189,0.04739574771617935,0.04943722372354937,0.05485342636019991,0.0641348522105927,0.06973795302950916,0.07815092177118989,,
2015-02-02,0.045170807421839834,0.04652436117023937,0.04848629348920383,0.05380769723336468,0.06319424774840907,0.06889226174852686,0.07772332238207648,0.08942753488201881,
2015-02-03,0.04591343615034006,0.047215934534154076,0.049231333726173415,0.054027873245933354,0.06289980494763202,0.0684284388688215,0.07810257867488561,0.09150260354827386,
2015-02-04,0.046298766937389865,0.047848415872989734,0.04999725320503992,0.05465765591963622,0.06354749927768308,0.06894795350915994,0.07694008917216977,,
2015-02-05,0.04649447123018199,0.04823385628631292,0.05044680592099288,0.05479999440924767,0.06343865711051859,0.06914336393291932,0.07727610053600742,,
2015-02-06,0.046882779422622034,0.048751807904225786,0.05102056935549978,0.056123887577986226,0.06376361009787772,0.06956636696510263,0.07866914565702292,0.09031176595193059,
2015-02-09,0.04716483465356136,0.049257954146838985,0.051632783407761215,0.056386970099997685,0.06506880481448325,0.07024790463554925,0.07927511567623768,0.08945877181637377,
2015-02-10,0.047457667039060694,0.049668768154636715,0.051935674539649146,0.056900197221931514,0.06563342354236355,0.07109292634175285,0.07986444508314111,0.08965619262900774,
2015-02-11,0.04712197551569171,0.04935210364842052,0.0515805964307645,0.05670413994664883,0.06592145396805929,0.07149763438906805,0.08122176546786757,0.09231864489987535,
2015-02-12,0.0466955017696194,0.0485025141207229,0.050533504049107086,0.055669743596768004,0.0648345562556141,0.07117953866436948,0.08118976772835605,0.09404220659508684,
2015-02-13,0.046387146331913806,0.04804002652073974,0.05012562983520553,0.054963374707751714,0.06423719036097257,0.07076312031637105,0.08038839481672024,0.09254580825945388,
2015-02-16,0.04621434291306016,0.04782013000970832,0.049920886836122086,0.05488579961102888,0.0637721108501062,0.0704913752373468,0.08030720112981303,0.09276895807035423,
2015-02-17,0.046360005361654695,0.04788248208463178,0.05001470210054445,0.05519827665085332,0.06400958110612337,0.07112890943168124,0.08101297955244803,0.09421866098530306,
2015-02-18,0.04627062033574119,0.047774624116926,0.049917334251646746,0.05496704176569487,0.06388801406703065,0.0717374606675193,0.07985634370882518,,
2015-02-19,0.0461358165584416,0.04769432044522432,0.049687111552271984,0.054708467346988233,0.06324413046685738,0.07115462257435932,0.08117015985306386,0.09405526051310692,
2015-02-20,0.04608860197641179,0.04775623986641101,0.0497230789922868,0.05488931511674982,0.06358229236803906,0.07125346785653952,0.08176961021549341,0.09462491650010765,
2015-02-23,0.04589018621813359,0.047427069735035673,0.04941420907338835,0.05477987932154717,0.062066976024910216,0.07148201003809351,0.081865712155766,0.09474474340479785,
2015-02-24,0.04561945577823227,0.04735177749014299,0.049135006561374775,0.05444454573166612,0.06384130653546896,0.07113272482470857,0.08119945359422677,0.0938277032867175,
2015-02-25,0.04573043974551747,0.047336917175655815,0.04904195484749242,0.05389529758383539,0.06331254317024806,0.06990454143002026,0.07921818193270633,0.08832800245638305,
2015-02-26,0.04574903221769263,0.047354842047840615,0.04896963673819032,0.053903841609935735,0.06324334356848424,0.06957932584794543,0.07880222144579875,0.0875649835515353,
2015-02-27,0.04553790955689194,0.047393317983094346,0.049084049978365296,0.05407092966317133,0.06337669145905316,0.06984771153834116,0.07878660134624565,0.08762392140578368,
2015-03-02,0.045720472354852854,0.04750213631077096,0.04929024730676832,0.054269308530668844,0.06376407158798486,0.0705018626027427,0.07897716798673164,0.08707264832404527,
2015-03-03,0.045735265215243404,0.04763659614391496,0.04950379385116864,0.05473305662717198,0.06446622642971156,0.07192409087967117,0.08021118437091905,0.08906665263383066,
2015-03-04,0.04587085235098608,0.04782606176161054,0.049771531497699216,0.05487642758453408,0.06508054950567929,0.0719197932551704,0.08030840282527048,0.08901988720902596,
2015-03-05,0.045923222571784494,0.047937123807217964,0.049917742358538596,0.05512985529517373,0.06462175250384328,0.07153339716466431,0.0797476781308865,0.08750879764619444,
2015-03-06,0.04779050562913168,0.04995532152204946,0.05200212699355535,0.057936383533482474,0.06664061494393982,0.07350352609053251,0.08193693205031301,0.09160030276382856,
2015-03-09,0.04823910354858607,0.05050598664823938,0.05251663345132304,0.05873279017963482,0.06742827331931915,0.0735774438209972,0.08233285231486012,0.09130168626442199,
2015-03-10,0.04836738928805769,0.050976989193117266,0.053418070503102516,0.059792286119056404,0.06849187452840433,0.07485065858801924,0.08294815414075446,0.09046879941073702,
2015-03-11,0.048421458266651084,0.05089726104470635,0.05339028382104561,0.059968355982056555,0.06843162682640032,0.07423390602978626,0.08193037850639522,0.08973137040925183,
2015-03-12,0.04823957121541782,0.05086356012471489,0.05313728686520777,0.05939570783638627,0.06675600016314728,0.07330641052651549,0.08164069008636564,0.08789560341202385,
2015-03-13,0.048950043114316714,0.05232794033432557,0.05542241767084577,0.0610215998117371,0.06711770589088027,0.07510218145713388,0.08282599902199268,0.08854943764933917,
2015-03-16,0.04906086357727302,0.05223737589877743,0.05488074360076409,0.061324004073004854,0.06950690990821985,0.07440445985412283,0.08286955717325895,0.08773034868737759,
2015-03-17,0.048917186755698845,0.05186848488477379,0.05438699107154599,0.0609617178216606,0.06842129002359762,0.07428311024527305,0.08166530592662503,0.08670215279524643,
2015-03-18,0.04862815984706488,0.05134479841525647,0.053581752777523,0.05995160503492588,0.06823033427505007,0.07334376356938282,0.08187304184623959,0.0868408342727451,
2015-03-19,0.048325544319819155,0.05086774927519997,0.05296354298067149,0.059119270537050794,0.06731392656600575,0.07256043228060048,0.08095028282756007,0.08641983313625341,
2015-03-20,0.04854962851623993,0.05085452427909143,0.0528792165258026,0.05846666324772689,0.06662308203163719,0.07254927457794914,0.08114897043745757,0.08672163251781628,
2015-03-24,0.048001525614468514,0.05022351074778284,0.052223272550164034,0.05818001572070993,0.06611970873589798,0.07245669619568419,0.08154585800078239,0.0907136924837425,
2015-03-25,0.0480532861767457,0.050376620999967446,0.05251188828676724,0.05856713315303629,0.06672315202769862,0.07304892281315156,0.08179690172087774,0.09007360412856291,
2015-03-26,0.04812539911117362,0.050771030814723894,0.05315443111537841,0.05970596904253646,0.06760522054319633,0.07386310435071874,0.08227093677605316,0.0893899604352794,
2015-03-27,0.04833863535990503,0.05100082756745975,0.05340640822836485,0.059527403593222665,0.06809366824947748,0.07390196505671409,0.08244157106189647,0.08967286273173192,
2015-03-30,0.04891018654283524,0.051746872919702924,0.05426667083082385,0.06051486361004799,0.06800147932340203,0.07470290300694858,0.08185014088123475,,
2015-03-31,0.04876801767545946,0.051630417237089686,0.054122297774106536,0.06036969570311576,0.06866720294545609,0.07453177993165463,0.08197672278605848,0.0869751631262761,
2015-04-01,0.04872128073903614,0.051328740874850474,0.05373222226465289,0.06033072136253343,0.06760341327491738,0.07358841334302449,0.08143906652407354,0.08683433402129678,
2015-04-06,0.048370376334007634,0.050721646648926526,0.052921755045929504,0.05935085655091233,0.06542939592039784,0.07293473008916644,0.08161343716226425,0.09026646182427485,
2015-04-07,0.04784165341222589,0.05014097942998238,0.052332854011797235,0.058905306273702655,0.06705311052609393,0.07278492305660166,0.0815780974282901,0.08972731438096263,
2015-04-08,0.04755838099503152,0.049712601125852345,0.05180457558817202,0.05849644653632659,0.068445563935873,0.07161653066250377,0.08045743077721208,0.0882728390107862,
