fecha,r_1yr,r_2yr,r_3yr,r_5yr,r_7yr,r_10yr,r_15yr
2015-01-02,4.91496345195381,5.23219825521202,5.578546056552789,6.0920158853230095,6.90864489185455,7.47879200703321,8.375191999085251
2015-01-05,4.909466617783051,5.24311767209762,5.59368247521365,6.12680761249947,6.95630454745209,7.47297248501399,8.307616279344849
2015-01-06,4.90787155508999,5.25418391328546,5.59459233711897,6.15134336628273,7.000365707307981,7.54123827773439,8.44960456924307
2015-01-07,4.856030568229261,5.23417859682754,5.56385669927579,6.0903840246487,6.89200842665819,7.41481580898296,8.36917321149328
2015-01-08,4.81844314246335,5.14934912424767,5.46561236709954,5.97437865249623,6.78153394169267,7.2941840512555105,8.00395444416909
2015-01-09,4.77663054567182,5.12916346320932,5.44099379580636,6.00743108609433,6.71982758058116,7.28110191440378,8.10960523894371
2015-01-13,4.81034384418443,5.1416757183848905,5.462592049135051,6.02413466118305,6.75225186622143,7.3154975232979,8.206777186469651
2015-01-14,4.763209189162089,5.06714819881624,5.38371746199169,5.96851530555561,6.714456236352751,7.279268616122141,7.91472060679041
2015-01-15,4.7093608157431,4.94690353084193,5.24899080724605,5.87579746813253,6.6166106041223305,7.166348352448471,7.906787997372939
2015-01-16,4.68681223977291,4.8986213345082605,5.17947330736013,5.78945748033865,6.608170877176491,7.0911641880025105,7.86463991482477
2015-01-19,4.69196464004431,4.890037390297279,5.15343358019717,5.73838859615167,6.56482959507063,7.09403563900383,7.72532209611472
2015-01-20,4.71598238093895,4.922962595143851,5.18392071868516,5.74109754775904,6.53228728325855,7.07054662941518,7.770222120526229
2015-01-21,4.65285692725569,4.86928829541597,5.13021170907099,5.70680415663442,6.4947822349218605,7.060586915630631,7.870452681930249
2015-01-22,4.5880579484049,4.80006946898422,5.02875764407438,5.5415642364914,6.422851427365379,7.010827630044961,7.704591584096709
2015-01-23,4.58951318540425,4.77426545880766,4.98000506704257,5.49094692979187,6.34439019501941,6.940391042488151,7.7423287983082805
2015-01-26,4.59063638880823,4.76364116395203,4.9749263716409695,5.48725303696698,6.40217919311665,6.941814041083851,8.00657082029416
2015-01-27,4.55431313478318,4.71227116876016,4.91013165184758,5.40046202016242,6.33497235493903,6.89171230469189,7.761512720486221
2015-01-28,4.5359072014825506,4.68192631106814,4.8907349782448,5.37373281277272,6.3435293151543,6.91619660415055,7.7280311870283
2015-01-29,4.53793269996762,4.68405352315995,4.8722577481836,5.36617605111179,6.32620368571251,6.89313211132722,7.73133982918557
2015-01-30,4.57004766156818,4.73957477161793,4.94372237235493,5.48534263601999,6.41348522105927,6.97379530295091,7.815092177118981
2015-02-02,4.51708074218398,4.65243611702393,4.8486293489203804,5.38076972333646,6.3194247748409,6.889226174852681,7.77233223820764
2015-02-03,4.591343615034,4.7215934534154,4.9231333726173405,5.40278732459333,6.2899804947632,6.842843886882149,7.81025786748856
2015-02-04,4.62987669373898,4.78484158729897,4.99972532050399,5.46576559196362,6.3547499277682995,6.89479535091599,7.69400891721697
2015-02-05,4.64944712301819,4.82338562863129,5.04468059209928,5.47999944092476,6.34386571105185,6.914336393291929,7.72761005360074
2015-02-06,4.6882779422622,4.87518079042257,5.10205693554997,5.61238875779862,6.376361009787771,6.95663669651026,7.866914565702291
2015-02-09,4.71648346535613,4.92579541468389,5.16327834077612,5.63869700999976,6.50688048144832,7.02479046355492,7.92751156762376
2015-02-10,4.745766703906059,4.96687681546367,5.19356745396491,5.69001972219315,6.56334235423635,7.109292634175279,7.98644450831411
2015-02-11,4.7121975515691705,4.93521036484205,5.15805964307645,5.67041399466488,6.592145396805919,7.149763438906801,8.122176546786749
2015-02-12,4.66955017696194,4.85025141207229,5.0533504049107005,5.5669743596767995,6.48345562556141,7.117953866436939,8.1189767728356
2015-02-13,4.6387146331913796,4.8040026520739705,5.01256298352055,5.49633747077517,6.42371903609725,7.0763120316371,8.038839481672019
2015-02-16,4.62143429130601,4.78201300097083,4.9920886836122005,5.4885799611028805,6.37721108501062,7.0491375237346805,8.0307201129813
2015-02-17,4.63600053616546,4.788248208463171,5.00147021005444,5.51982766508533,6.40095811061233,7.11289094316812,8.1012979552448
2015-02-18,4.62706203357411,4.7774624116926,4.99173342516467,5.49670417656948,6.38880140670306,7.173746066751931,7.985634370882511
2015-02-19,4.61358165584416,4.76943204452243,4.96871115522719,5.47084673469882,6.32441304668573,7.115462257435929,8.11701598530638
2015-02-20,4.60886019764117,4.7756239866411,4.97230789922868,5.48893151167498,6.3582292368039,7.12534678565395,8.176961021549339
2015-02-23,4.5890186218133495,4.74270697350356,4.941420907338831,5.47798793215471,6.20669760249102,7.1482010038093495,8.1865712155766
2015-02-24,4.56194557782322,4.73517774901429,4.91350065613747,5.44445457316661,6.38413065354689,7.11327248247085,8.11994535942267
